사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
23-Aug,2호선,228,서울대입구(관악구청),"4,961",23,"28,566","2,591","44,449","14,402","128,349","27,720","175,009","62,147","117,561","58,574","68,003","46,745","58,325","43,120","63,229","46,580","64,896","52,123","56,715","53,212","60,177","62,896","67,338","74,347","77,399","105,351","85,812","175,343","51,911","138,009","43,856","86,605","44,439","81,863","38,846","78,250","20,257","47,090","3,438","17,495",1,"3,244",0,0,0,0
23-Aug,2호선,229,봉천,43,5,"15,647","1,726","30,459","6,824","81,796","12,139","120,313","25,531","73,445","21,553","40,861","19,226","32,407","21,172","34,061","22,821","33,000","24,676","28,495","26,618","27,562","35,410","30,636","40,800","31,341","56,545","32,982","87,930","20,121","73,060","16,537","46,156","13,996","42,395","10,673","39,791","4,574","23,317",834,"7,581",0,177,0,0,0,0
23-Aug,2호선,230,신림,209,8,"37,013","4,188","70,796","16,665","186,200","26,739","267,850","43,231","159,802","42,033","87,820","39,471","71,152","41,943","75,568","46,037","69,353","51,948","63,450","57,166","61,822","72,660","69,141","91,140","72,666","123,812","76,038","211,982","50,829","180,584","41,941","117,884","38,409","110,997","32,141","103,870","18,434","66,829","3,823","19,936",3,65,0,0,0,0
23-Aug,2호선,231,신대방,264,0,"24,078","2,176","36,206","9,844","90,449","16,287","132,244","24,800","80,514","18,797","44,203","18,031","34,774","18,234","34,921","20,613","32,555","23,801","28,162","27,226","27,704","37,636","30,698","43,931","33,256","61,134","33,057","93,569","21,026","80,974","15,996","55,994","12,442","58,867","10,173","52,724","4,902","30,554",979,"8,517",0,55,0,0,0,0
23-Aug,2호선,232,구로디지털단지,379,20,"36,920","5,366","53,742","20,225","142,411","85,088","183,072","229,151","110,408","141,119","66,981","60,298","57,659","43,157","62,786","45,594","62,953","55,417","57,361","54,431","62,345","61,621","77,195","75,840","134,229","104,714","210,025","164,541","101,767","130,053","63,610","85,564","53,387","83,372","39,914","78,218","17,750","46,517","3,204","13,841",2,179,0,0,0,0
23-Aug,2호선,233,대림(구로구청),711,34,"30,706","3,239","29,749","10,576","66,356","22,700","89,336","53,876","59,546","35,523","37,031","31,344","32,456","31,516","33,379","30,135","31,688","29,826","29,749","30,507","32,121","37,459","34,239","45,449","42,033","56,207","50,446","67,035","26,914","50,747","19,301","39,708","14,509","46,611","10,609","43,045","5,171","20,751",716,"5,464",0,208,0,0,0,0
23-Aug,2호선,234,신도림,"3,760",14,"34,804","5,108","53,589","20,140","137,046","43,629","142,208","109,679","86,365","70,254","58,377","61,456","57,180","60,551","63,918","61,738","66,286","65,058","67,769","61,320","73,737","67,796","81,831","81,090","101,646","111,316","123,314","171,694","70,521","119,772","60,934","71,928","59,074","66,131","43,570","63,823","20,784","47,712","2,523","18,913",7,"2,611",0,0,0,0
23-Aug,2호선,235,문래,8,1,"4,398","2,274","14,680","10,969","44,122","37,908","48,755","129,619","27,474","61,569","19,042","24,926","18,990","21,419","23,042","23,776","23,235","24,961","23,517","22,502","27,222","24,046","33,375","28,277","60,447","38,735","108,464","60,983","39,554","40,455","27,577","21,912","27,585","19,080","22,223","17,108","10,544","10,112","1,746","3,296",2,85,0,0,0,0
23-Aug,2호선,236,영등포구청,13,2,"5,529","3,269","13,387","13,946","39,331","39,155","47,819","118,191","29,457","48,469","21,901","24,955","22,286","22,221","24,971","22,942","25,054","24,522","26,494","22,833","27,660","23,624","35,173","27,628","55,015","36,445","100,935","54,996","33,949","35,999","25,549","21,666","24,184","19,464","17,839","17,853","8,350","11,670","1,437","4,310",2,110,0,0,0,0
23-Aug,2호선,237,당산,55,2,"6,724","3,305","17,046","13,061","45,081","28,416","53,581","76,174","32,438","34,663","21,660","17,297","20,315","15,563","21,382","17,463","20,961","18,801","18,768","19,185","20,399","22,131","25,057","28,247","42,001","44,566","56,855","73,625","24,666","47,977","20,137","31,035","20,177","30,251","17,235","27,043","8,150","17,952","1,183","4,364",2,135,0,0,0,0
23-Aug,2호선,238,합정,58,8,"10,263","3,152","18,602","14,247","43,827","33,688","53,198","98,619","36,373","86,726","27,244","53,607","29,409","50,119","34,705","52,353","39,475","58,563","42,392","53,421","47,655","53,669","54,867","63,574","77,863","83,788","116,024","115,733","75,715","77,211","63,955","42,820","72,297","35,276","66,449","31,065","34,037","21,396","6,233","7,954",0,188,0,0,0,0
23-Aug,2호선,239,홍대입구,746,21,"27,980","3,632","32,201","16,639","61,377","39,326","78,677","103,620","59,251","123,282","52,769","102,773","59,877","126,569","70,449","151,349","83,199","160,922","93,442","151,094","112,780","154,946","137,337","161,191","165,111","189,500","195,705","227,017","161,864","165,027","161,516","101,331","187,157","81,624","183,147","67,391","92,368","47,755","12,249","16,846",2,"1,974",0,0,0,0
23-Aug,2호선,240,신촌,47,3,"7,303","2,923","14,827","15,804","37,492","36,915","53,456","77,650","39,073","90,839","37,590","61,946","44,942","59,615","56,234","63,890","59,581","71,448","60,395","63,088","68,443","60,064","79,871","64,422","95,340","84,604","94,738","113,473","66,432","74,358","68,137","44,382","72,212","39,475","69,078","33,413","32,419","23,443","5,495","6,106",0,38,0,0,0,0
23-Aug,2호선,241,이대,43,0,"3,939",791,"9,443","6,328","28,586","12,559","37,344","37,546","23,509","30,377","18,284","23,760","20,848","20,583","24,301","22,209","23,126","24,521","22,606","22,143","24,805","23,123","28,635","25,201","39,120","32,341","33,701","46,056","21,770","32,173","17,333","22,102","16,213","21,348","13,806","21,681","4,971","14,857",759,"4,008",0,40,0,0,0,0
23-Aug,2호선,242,아현,28,2,"5,214","1,012","11,060","6,306","30,389","10,730","41,336","20,072","23,577","12,795","17,299","10,259","15,941","9,904","16,985","11,194","15,471","12,161","14,722","13,318","16,073","15,088","20,991","17,870","19,381","23,384","19,857","34,382","12,122","24,763","9,033","16,563","6,992","15,618","4,990","15,247","1,931","8,670",368,"2,373",2,17,0,0,0,0
23-Aug,2호선,243,충정로(경기대입구),26,3,"3,040",896,"6,660","7,250","16,080","22,301","21,753","61,913","15,117","27,099","11,385","12,522","11,631","10,168","11,880","10,680","12,235","12,714","12,736","11,123","13,806","11,145","17,149","12,739","30,972","16,402","48,798","22,182","15,346","15,106","10,132","9,956","9,246","9,775","6,799","9,357","2,838","5,674",581,"1,682",1,43,0,0,0,0
23-Aug,2호선,244,용답,2,0,"2,446",419,"3,324","1,072","8,473","1,693","13,093","3,192","7,263","2,097","4,867","2,038","4,145","2,473","3,938","2,679","4,066","2,841","3,576","3,176","3,655","4,110","3,989","5,488","4,619","6,362","3,824","10,950","2,582","7,368","1,754","5,083","1,303","5,829","1,047","5,492",457,"3,237",95,"1,034",0,0,0,0,0,0
23-Aug,2호선,245,신답,16,0,"1,227",184,"1,802",592,"6,059",908,"11,302","1,655","4,380","1,083","2,492","1,109","2,007","1,188","1,838","1,312","1,894","1,507","1,579","1,811","1,514","2,555","1,873","3,424","2,027","4,548","2,126","10,091","1,026","6,550",641,"3,301",393,"3,602",522,"2,818",159,"1,889",39,542,0,2,0,0,0,0
23-Aug,2호선,246,신설동,49,0,"1,227",250,"1,475","1,836","4,551","4,452","7,890","12,055","4,971","7,805","4,801","6,944","6,150","6,872","6,881","6,639","6,991","7,034","7,022","5,688","7,637","5,370","8,395","4,844","11,069","5,485","10,894","7,461","5,110","5,465","3,328","3,728","3,586","3,018","1,750","3,032",699,"2,075",94,650,0,127,0,0,0,0
23-Aug,2호선,247,도림천,1,0,373,411,"1,140",876,"3,221","3,596","3,623","5,375","2,189","2,078","2,170","1,725","1,794","1,337","2,481","2,016","1,745","1,631","2,091","1,586","2,313","1,827","2,774","1,907","2,786","2,433","3,870","3,461","1,729","2,579","1,034","1,734",859,"1,474",455,"1,302",176,899,46,244,0,9,0,0,0,0
23-Aug,2호선,248,양천구청,17,0,"4,838",935,"12,134","2,547","31,876","5,077","27,918","9,497","16,546","5,344","11,159","4,850","9,555","5,132","9,908","6,687","9,262","7,418","7,285","7,937","7,133","9,947","8,505","12,308","8,756","18,509","9,043","29,662","4,319","24,098","2,824","13,918","2,494","12,870","2,466","10,482",752,"7,751",158,"2,407",0,28,0,0,0,0
23-Aug,2호선,249,신정네거리,68,0,"8,910","1,079","18,233","2,844","48,216","4,578","43,747","10,758","23,311","8,586","16,843","7,556","14,850","8,658","15,384","9,799","13,498","10,889","11,983","12,056","11,244","16,095","12,085","20,844","12,384","29,883","11,952","48,570","7,420","34,992","5,570","20,361","4,429","17,786","3,435","16,432","1,488","10,428",314,"2,785",1,93,0,1,0,0
